Text,Likes,Source,,,
الزبيدي يتعهّد بتحسين مستوى عيش التونسيين ,330,Mosaique fm,,,
حمة الهمامي إلى التونسيين: جربونا في الحكم,410,Mosaique fm,,,
مورو: تفعيل صلاحيات الرئيس وتحقيق الأمن الإجتماعي,158,Mosaique fm,,,
المرزوقي: ''سألغي كل الديون الخارجية لتونس,856,Mosaique fm,,,
المرزوقي: ''سألغي كل الديون الخارجية لتونس,1052,Mosaique fm,,,
ناجي جلول: سأكمل ما بدأ فيه الباجي قايد السبسي,234,Mosaique fm,,,
الياس الفخفاخ المترشح للانتخابات الرئاسية عن حزب التكتل ضيف ميدي شو,91,Mosaique fm,,,
محسن مرزوق المترشح للانتخابات الرئاسية عن حركة مشروع تونس ضيف ميدي شو,110,Mosaique fm,,,
حملة القروي: الصحة والغذاء والسكن والماء للمحرومين,774,Mosaique fm,,,
يوسف الشاهد يقدّم برنامجه الإنتخابي لأهالي قبلي,126,Mosaique fm,,,
مهدي جمعة يتعّهد بفرض رقابة الدولة على التعليم الخاص ,204,Mosaique fm,,,
الصافي سعيد: سأنسحب من السباق الرئاسي في هذه الحالة,101,Mosaique fm,,,
قيس سعيّد: وكالة النواب وجب أن تكون قابلة للسحب,503,Mosaique fm,,,
لطفي المرايحي: سأعمل على تأمين الضامن الوحيد للسيادة الوطنية,497,Mosaique fm,,,
البريكي: سأعمل على إلغاء جواز السفر بين تونس والجزائر والاكتفاء ببطاقة التعريف,355,Mosaique fm,,,
مورو: سأحمل معي أشياء ثلاثة إذا سكنت قرطاج,388,Mosaique fm,,,
محمد عبو يتعهد بالعمل على القطع مع حالات التسيب ,181,Mosaique fm,,,
عبد الفتاح مورو المترشح للانتخابات الرئاسية عن حركة النهضة ضيف ميدي شو,234,Mosaique fm,,,
عبيد البريكي المترشح للانتخابات الرئاسية عن حركة تونس إلى الأمام ضيف ميدي شو,83,Mosaique fm,,,
عبير موسي المترشحة للانتخابات الرئاسية عن الحزب الدستوري الحر ضيفة ميدي شو,358,Mosaique fm,,,
رضا شرف الدين: نبيل القروي سيعمل على القضاء على الفقر,912,Mosaique fm,,,
قيس سعيد: سأقدم مبادرات تشريعية في البيئة والفلاحة والتعليم ,2954,Mosaique fm,,,
المرايحي: أولوياتنا المنوال الاقتصادي والتحكم في ثرواتنا,560,Mosaique fm,,,
محمد الصغير النوري: سأخفف من مصاريف الدولة وأقلّص من رواتب الوزراء,276,Mosaique fm,,,
